name,ratings,date,helpful,comment,developer_comment
邓双娟,5,2016-05-17,4,It's a very fast and easy way to learn korean.,
Google 사용자,4,2016-10-26,0,Ce serai bien si le reste des leçons n'étaient pas payantes ^^,
YouTu Burp,5,2016-04-04,3,Really good app for a beginner,
구현모,5,2016-07-13,1,첫부분은 좋아보임,
Mah,5,2016-08-26,0,I'am loving this app.,
Park Caroline,5,2016-06-09,1,it's really good,
My Hoang,5,2016-05-15,0,Hữu ích,
awkwardnim,5,2016-07-08,0,Amazing!,
Zoya Cheboksarova,5,2016-04-24,1,진짜 좋아요 !!!,
Alex Alencar,5,2016-08-08,0,좋은!,
wasan jimin,5,2016-05-14,1,좋아요,
Monserrat Lopez,5,2016-03-23,0,This is really a great app it helps you understand Korean better,
Milky Words.,3,2016-01-12,2,"Сделайте бесплатные уроки, так ставлю 3.",
lenano1287,5,2017-02-19,0,I like It! 😍,
Patricia Baldissera,5,2016-01-28,1,Muito bommmmm,
Annoy,5,2015-12-04,0,Melhor APP. Me lembra muito o livemocha. Com certeza vale à pena!,
Queen Seren,5,2020-03-09,0,تطبيق رائع جداً جداً ومفيد من اول درس لثالث درس حفظت تقريبا ٥ أو ٦ كلمات حلو كتييير حملوه واستفيدوا متلي 👍😗💝 I purple you 💜,
문성혁,5,2018-02-24,0,내가 한국인인데 한국어를 왜 배울까 ㅋㅋㅋㅋ,
꺽꺽,4,2020-06-13,0,Very good. But sometimes it doesn't make any sound.,
Google 사용자,5,2016-01-15,0,좋아해요...감사합니다...정말 감사합니다...나는 한국어를 배우고 싶어요😘☺,
Paule Léane NGOUAMA,5,2017-04-05,0,좋아하는 앱이에요. 감사합니다,
비아,5,2016-01-13,0,Best app,
HD JOS,5,2017-08-25,0,쉽고 재밌다.,
LOVE Pink Minso,5,2018-02-27,0,😄😄,
Seung Chul Park,5,2020-08-25,0,난 좋아,
Kammylla Horan,5,2017-07-05,0,Beautiful. (♥ω♥*),
