name,ratings,date,helpful,comment,developer_comment
계란,5,2020-12-31,0,반복적으로 말하다보니 확실히 말이 조금 트는 것 같아요 하지만 꾸준히 하는게 가장 큰 나와의 싸움일테니 열심히 하겠습니다. 감사합니다,
이재훈,5,2021-01-07,0,간단하고 보기 편하네요. 영어가 잼있게 느겨져요 ㅎㅎ 아직 초도단계라서 ㅋ,
SOSA SOSA,4,2020-12-29,0,발음 측정 하는 방식이 조금 힘든 거 같음….여러 문장 말고 한 문장만 반복하는 기능도 넣어주세요…,
Ye JiYa,5,2021-01-19,0,막사용한 참이지만 초보자다쓰기에 앱도 편하고 챕터가 짧게짧게 되어있어 지루함도 덜해요~~,
ozozhyeon,5,2021-01-05,0,원어민을 이렇게나 많이 볼 수 있다는 게 정말 신기합니다 ㅎㅎㅎ 덕분에 좋은 학습 알아갑니다~,
ZEBRA,5,2020-12-25,0,원어민들 발음 신기하네요. 억양도 특이하고…열심히 배우고 있습니당..,
장정수,4,2020-12-08,1,중간에 단어에 대한 발음 음성 서비스와 예문문장 리스닝코너가 있으면 좋겠습니다,
김종성,5,2020-12-12,0,사용해 본이 정말로 돈않아까워요.반복 자기자신이 직접 말할수 있고 들을수 있어요.,
Sei Lee,5,2021-02-08,1,원어민들의 생생한 발음을 들을 수 있어 좋습니다:),
방여진,4,2020-12-21,0,아이패드 배송이 조금 느리네요 ㅠㅠ 학습은 좋은 거 같아요,
양지현,5,2021-01-19,0,재밌고 반복하는 학습으로 기억도잘나고 유익합니다!,
VIVID,5,2020-12-28,0,쉽고 편하게 영어 학습할 수 있어서 만족스럽습니다.,
누워있냥,2,2021-01-16,0,스피킹 할때 주변에 소음 조금이라도 있으면 인식을 제대로 못합니다 자꾸 BAD떠요,
Garam Han,5,2020-12-14,1,반복적으로 계속해서 사용하다 보면 어학실력 향상에 도움이 될 것 같습니다.,
남엉망징찬 미니어쳐tv,5,2021-01-26,1,꾸줄히 하면 외국인과 소통은 문제 없을 거 같아요!!,
소원,5,2020-12-29,0,에어팟프로 패키지 신청했는데 갤럭시랑 연동은 되네요 ㅎㅎ 소리 잘 들립니다,
신진성,5,2021-01-28,1,간단하고 어디서나 잠깐잠깐 할 수 있어서너무 편리합니다ㅎ,
김성우,5,2020-12-17,0,이제 막 시작했는데 재밌네요 발음 도움이 많이 될 거 같아요 자신감도 생기고ㅎㅎ,
방현서,5,2020-12-09,0,왕기초도 충분히 배우는 영어회화 입니다! 좋아요~!!!!,
김홍두,5,2021-01-07,0,실생활 영어 실력 익히기에 맞춤입니다.,
The Daisy,4,2020-12-10,0,부담스럽지 않은 학습 진행과 난이도가 마음에 듭니다.,
모오런,5,2021-01-29,0,자꾸 평가하라니까 집중중에 짜증나서 말하는데 좋은거같다.. 사용1일차 수줍은왕초보,
김세인,5,2021-02-04,1,일단재밌어요 반복적문장학습으로 제가 주로 틀리게 구사하던 문장을 핵심적으로 교정해주네요,
도다현,5,2020-12-10,0,처음 보는 영단어 문장도 쉽게 쉽게 체득하는걸 느낍니다!,
안유진,5,2020-12-10,0,기초회화라서 배우기쉽고 자신감이 생기는 거 같아요,
cecil,5,2020-12-22,0,제 지인한테도 추천해주고 싶은 프로그램이에요! 애플 패키지 신청해서 하면 정말 이득인 거 같아요!!!,
Mingu Kang,5,2021-02-10,0,첫 시작인데 기초부터 탄탄히 알려주니 재밌게 잘 사용할수 있을것 같네요,
홍다미,3,2021-01-06,0,로그인이 안되서 헤메고 있다가 간신히 접속해써요 ㅠㅠ 뭐지,
노폐인 노게인,4,2020-12-19,8,화면을 닫아도 계속 재생될수 있도록 기능개선 부탁드립니다,
박은서,4,2021-02-22,0,알 수 없는 오류가 떳어요!!! ㅜㅜ 공부 하다 강종됨…아아아…,
석서진,4,2020-12-16,0,아이패드 패키지 신청해서 하고 있었는데 아이패드 프로 패키지도 나왔네요…. 에고..ㅋ큐ㅠ,
M.I.K한국영상,5,2021-02-15,0,시작한 이후로 말하는것도 늘고 발음도 좋아지고 있어요,
Yena J,5,2021-01-12,0,영어를 더 연습 할 수 있을 것 같았어요.,
안다미로,5,2020-12-23,0,원어민 현지 영어는 역시 스피킹맥스!!,
석옥주,5,2020-12-28,0,컨텐츠 개편과 개선이 점점 되어가는 좋은 앱 같습니다,
카라꽃,4,2020-12-10,0,영어 배워서 여행 다니면서 원어민이랑 대화 해보고 싶네요 ㅎㅎ,
정성민,1,2020-12-07,4,수강 끝나고 한달쉬고 다시 수강하는데 업데이트 했다고 앞에 수강 다 리셋되서 처음부터 다시 하라는데 짜증나서 안하게 되네요.... 스킵해야 다음강의 볼수 있는 방식이라.... 저 하고는 안맞는듯 하여 다른곳으로 갑니다.,
인간지표버거형,5,2021-02-15,0,좋아요 좋으니껀 이제 리뷰 그만 물어보세요 ㅠ 학습 흐름끊긴단 말이에요 ㅠㅠ,
김현희,5,2021-01-07,0,사용이 편하고 기능이 좋아요.,
김진욱,5,2021-01-10,0,최고네요 접근성도 좋고,
one thing,3,2021-01-03,0,"인증을 휴대폰만 가능하게 해놔서,해외에서는 사용할 수가 없네요",
송포미,4,2021-01-05,0,부족한 발음을 알 수 있어서 좋네요,
방진경,5,2020-12-21,0,이른 아침 회사 출근해서 잠시 단어 공부 하고 점심시간에 짬내서 강의 한 개 수강하고 퇴근하면서 강의 한 개 더 수강 하고 집와서 복습하고 하루 하루 뿌듯합니다.,
RICA E,2,2020-12-03,9,음성인식이 심하게 안돼서 짜증나요. 어떤건 톤을 올리거나 내리면 좀 인식되고.. 파란색 받기도 힘듦.. 중고급 난이도는 오히려 인식 잘되는데 초급 난이도는 왜 이렇게 인식이 안되나요? 이왕 기간 길게 끊은 김에 있는거 다 해보고 싶어서 초급도 해보는데.. 너무너무 답답합니다. 다른 사람에게 해보라해도 똑같이 인식 못하거나 빨간색이나 주황색 떠요 ㅎ..,
쓸쑬스,5,2020-12-16,0,"스피킹맥스 덕분에 꾸준히, 재미있게 공부하고 있습니다",
01087620841김유경,5,2020-11-06,4,"영어 배우기에 아주 좋아서 잘 사용하고 있습니다 !☆ 가끔가다 녹음할 때 오류가 뜨긴하는데, 녹음은 잘 되서 다행이네요 ,, ㅎvㅎ~ 나름 좋은 앱인것 같습니다.^^ 쓰기 유용한 앱 만들어주셔서 감사합니다 >3<7",
서송아,5,2020-12-18,0,좋아요 좋아요 너무 좋아요 만족하고 사용합니당 ㅎㅎ,
곽성은,3,2021-01-07,0,마이크인식이 잘 안되요,
남진선,4,2020-12-29,0,아이패드 배송 늦는게 조금 그렇네요..재고가 읍나…?,
길선경,4,2020-12-09,0,정말 좋은 학습법인거 같아요 감사합니다,
류수진,4,2021-01-06,0,편하고 간단해요,
jᅥ,5,2021-01-08,0,왕초보 단계부터 가고 있는데 꾸준히 하는게 중요할 거 같아요~,
최진원,3,2020-10-23,6,학습내용은 초보자들에게 좋은거같은데 ! 하지만 음성인식이 너무 안됨 그냥 환경소리에도 음성인식이 안돼서 진행을 못하겠어요,
Seokjoo Lee,5,2020-11-01,2,원어민들 발음과 억양을 그대로 따라 배울수 있어 넘 좋습니다~^^ 영어 회화가 재밋다고 느껴집니다!!,
이권욱,5,2021-03-02,0,쉽고 재미있어요.,
Jop Jo,4,2020-12-08,2,"꾸준히, 성실히! 그러나 발음 인식이 완벽하지는 않아요. 그래도 좋아요!!",
박명철,5,2020-11-20,1,너무 좋아요ㅎㅎ 초보자한테 딱인거 같아요ㅎㅎ 발음 잡아주고 다시 들려주고 문제 풀고 좋은거 갔습니다~!! 추천요~!!,
하리뵤,5,2021-01-27,0,영어 공부하기 좋아요:),
Ame G,1,2021-01-10,0,잘 발음한 것 같은데 발음이 안 됐다고 나와요.,
ᄆᄋ,4,2020-10-12,0,시작한지 얼마 안됐는데 재밌게 하고 있어요. 근데 매번 사용설명이 나오는거 어떻게 없애나요?,
풀문,5,2020-10-20,0,인강은 지루하던데 이건 여행다니는 맛을 느끼며 현지인 영어를 배울 수 있네요~,
JJOKKOMA,5,2020-10-20,1,실제 외국인들이 등장해서 영어를 말하는 걸 보고 듣고 따라하는 거라 현장감 넘치게 생생합니다ㅎ,
박박용운,4,2020-11-29,1,거의 영어로만 진행 되서 좋아요 스피킹 연습 이만큼 하는 앱은 없어보입니다,
모찌현,5,2020-10-20,2,실제 현지에서 사용하는 영어를 배우는 거라서 더 도움이 되는 거 같습니다.,
Hangyeol Lee,1,2020-11-04,1,뭘 할때마다 하얀화면이 뜨고 실향이 않될때가 있는데.....그 버그좀 고처주세요,
이호정,5,2020-10-20,0,영어 회화 관련해서 커리큘럼이 탄탄하고 좋다고 느껴집니다 ㅋㅋ,
싱숭생숭,4,2020-10-13,0,영상 재생시 가끔 끊기는 건 기기 문제 일까요…??,
Google 사용자,5,2021-02-03,0,처음이지만 옛생각나고 일년을 어떻게 하면 달라질까 기대반 고민반입니다,
JEANNIE KIM,5,2020-10-26,0,질리지않고 재미있어요. 따라할수밖에 없게 해주네요^^ 실력도 늘어나길,
Lainey,4,2020-10-13,0,무난한 학습 프로그램이지 싶음 회화 초보한테는 꽤나 잘맞을듯?,
서보일,4,2020-12-21,0,열심히 따라하게 합니다.,
강은송,5,2021-01-06,0,1년권 신청하면 한달 공짜로 더 줍니다. 총 1년 1개월 동안 공부할 수 있겠네욤 ㅎㅎ,
영웅단비,5,2020-12-08,0,다양한 표현을 배울수있어 좋아요,
손미연,5,2020-12-23,0,하루에 한 강 내지 두 강의씩 공부하고 있는데 정말 재밌게 하고 있어요 ㅎㅎ,
눈꽃송이,5,2020-10-13,0,각 나라별 문화 차이도 영어를 배우며 같이 알 수 있어서 좋아요~,
윤가희,5,2020-10-13,0,재밌고 쉽게 영어 배우기 좋은 거 같아요,
한놈두시기,5,2020-12-24,0,출~퇴근길에도 부담없이 공부하고 있으요~,
김보라,4,2020-10-20,0,어플 사용이 간편하고 편리합니다!!,
Hyeon Soo Kim,5,2020-12-24,0,상황이 많아서 재밌어요,
이남식,5,2020-12-15,0,비싼가격인데 좋네요.,
양인정,5,2020-11-18,0,즐겁고 편리하게 원어민을 만나는 온라인수업이 좋아요,
Doohyun Baek,4,2020-10-11,0,매일매일 원하는 시간에 틈 날 때 마다 할 수 있아 좋아요.,
나이트건,5,2021-01-16,0,영어공부하기 좋네요,
전영훈,5,2020-12-12,0,영어공부하기 넘 좋아요 짱,
장은정,5,2020-10-10,0,초보자는 힘들다고 들었는데 재미있어요.,
김희준,4,2020-10-07,0,발음인식이 잘 안될때가 있네요,
이상일,5,2021-02-25,0,따라하기쉽네요,
Carlos Kwon,5,2020-10-07,0,컨텐츠가 계속 개선되고 있고 좋은 앱입니다,
flower buds,5,2021-02-16,0,오 이런앱이 있었네요~회화공부에 굉장히 많은 도움이 될 듯해서 바로 결재했습니다 ~ 다만 한 가지 아쉬운 건 컨텐츠양이 조금더 다양하고 많았으면 좋겠어욧 ~엄마 지도하의 나이 어린 아이들도 할 수 있게 왕초보 수준의 낮은레벨도 개설되었으면 하고 바래봅니당~^^,
DaNieL H,5,2021-02-07,0,영어발음 확인할수있고 피드백도 적절하고 좋아요. 그리고 진짜 원어민들의 말을 들을수있는것도 강점이고요. 다른 어플이나 교육자료는 너무 의도적으로 느리게 말하는편이라 실용적이지 못한 느낌이 드는데 스피킹맥스는 실전을 대비한 연습이라 만족해요.,
오경선,5,2020-12-23,0,열심히 공부하고 있어요~ 고마워요 스피킹맥스~,
신현아,3,2020-11-06,0,이제시작이지만 열심히 배울게요~ 괜찮은것같아요,
In kwun Lee,5,2020-11-21,0,훌륭한 영어공부 툴입니다.,
동그리낑깡,5,2021-01-29,0,깔끔하고 정갈한 인터페이스랑 학습 서비스 덕분에 즐겁게 영어 공부 하고 있습니다. 어릴 때는 몰랐지만 지금 나이 들어서 보니 참 세상이 많이 발전하고 좋아졌네요. 이런 시스템도 있구요. 실제 외국인을 해외에 나가서 보면 좋겠지만 이렇게 보면서 공부하는 것도 나름 만족스럽다고 생각이 듭니다. 괜찮아요,
서효림,4,2021-02-16,0,원어민 영어라서 기대를 엄청하고 시작했는데 제 기대까지는 못미치는 듯 해요. 그래도 충분히 좋은 학습인 거 같아서 꾸준히 해보려고 합니다. 사람들을 다 만족할 수는 없겟져…,
팀에이스,5,2021-02-25,0,"하루하루 꾸준히 하기 정말 좋은 것 같아요. 모르는 단어들은 따로 체크해서 단어장으로 만들어서 대중교통 타고 갈 때 계속 보기도 편하고, 진짜 너무 귀찮아서 하기 싫다 하면 하루에 딱 한 강만 10분 15분만 공부 해서 끝내버리면 되고 ㅋㅋㅋ",
하양얄루,5,2021-02-24,0,회화 공부하기 너무 좋아요. 생활회화라 일상에 상당히 유효하구요. 요즘 실용영어가 관심이 높은거 같은데 진짜 원어민 영어가 뭔지 이 앱을 통해 알게 되었습니다!,
Purple Jin,4,2020-12-17,0,재밌음 게임 하는것같이 ㅋㅋㅎㅎ,
김현정,5,2020-10-20,0,정리잘되어있어서 잘하고있어요,
권은비,5,2021-01-26,0,계속 뭔가를 하게끔 유도하는 프로그램입니다. 막 손 터치하고 드래그 해서 가리켜야 하고 해서 아마 귀찮아 하는 분들도 있을지 모르지만 이런식으로 학습 유도를 하는 것도 좋다고 생각하는 학습법 인 거 같습니다. 계속 학습 유도를 해주네요 ㅎ,
권윤수,5,2021-02-25,0,처음에는 원어민 회화 문장 한문장 읽는것도 발음도 안되고 오래걸렸는데. 연습하기 쉬운 시스템이라 반복적으로 계속 학습하다보니 지금은 그때 보단 많이 나아진 거 같아요 ㅠ,
조가영,5,2021-02-24,0,제가 요즘 영어에 흥미를 보이고 있는데요!!!!!이 앱을 깔고 나서 영어 실력이 더 늘었어요!!개발자님 정말 감사합니다!!,
Byunghak Ahn,4,2020-11-11,0,따라하기 쉽게 구성되었어요,
오마이갓,5,2021-02-16,0,좋네요. 영어 공부 해야하는데 올인원으로 할 수 있어서 편한듯요. 프리토킹가능한 그날을 위해서 열심히 사용해볼게요.,
박익찬,5,2021-01-13,0,처음 시작이지만 열심히 해 보려구요,
함준민,5,2021-02-25,0,영어 초보인데.. 따라서 듣고 말하기를 하다보니까~ 신기한게~ 정말 효과가 있는!! 포기하지 말아요! 후회안합니다 ㅎㅎ,
황아라,5,2021-02-16,0,요즘 학원도 못보내는 시국이라서 집에서 할 수 있는 걸 찾다가 시작한 프로그램. 앱인데도 불구하고 높은 완성도와 컨텐츠로 괜찮은 학습도를 보여주고 있는 프로그램이라고 생각함,
꾀돌이형,5,2021-01-06,0,스피킹맥스로 공부한지 어연 몇개월 정도 지났습니다. 스피킹맥스로 영어공부 시작하니까 예전에 저보다 실력이 훨씬 많이 올라갔다는 것을 느낍니다. 제 학원 선생님도 예전에 비해 영어 실력이 많이 늘었다고 말씀해주실 때마다 너무 기분이 좋아요. ㅎㅎ,
민트피플,5,2021-02-20,0,괜찮은 학습법 인 듯…..진짜 원어민이 나와서 영어 회화 하니까 뭔가 의심도 안들고 진짜 회화가 이런 거구나? 하는 느낌적인 느낌….,
Again,5,2021-02-25,0,영어울렁증이 심한데 이건 원어민 보면서 혼자 공부하는 앱이라서 부담 없이 공부할 수 있어서 너무 좋은 듯 싶음….ㅠ,
우준희,5,2020-12-17,0,직장생활을 하다보니 영어가 더 필요해집니다...따로 학원 다닐 시간은 안되고 어플 받아서 출퇴근길 이용해서 공부중인데 확실히 좋은 거 같습니다. 열심히 할께요~,
전창민,5,2020-10-25,0,스피킹맥스 긴가민가했는데 학습커리큘럼이 너무 좋네요,
Kwangmoon Kim,5,2020-10-13,0,쉽게 따라할수있어서 좋습니다,
김수정,5,2020-09-09,0,영어에 대해 무지인데....아주 기초적인 거만 알다가....ㅜ.ㅜ초딩6학년딸이 물어보는데...멘붕...ㅜ.ㅜ부끄러웠네요.ㅎ아~영어라는거 울애들을 위해서...아니 나를 위해서라도 꼭 해야하는구나 해서 알아보다가 스피킹 맥스 핫해서 구매했어요 말하기 듣기 읽기 쓰기 4가지 다되니 너무 좋고 나의 억양과 발음 모두 피드백까지 되니 더없이 좋고 실력이 더없이 느는것 같아요. 영어회화표현도 늘고 일석이조의 효과 보고있어요~완전 굳입니다~~~,
데렐라뿅,5,2021-01-27,0,영어 공부는 피드백이 중요한데 내가 말하거나 퀴즈 푸는 즉시 즉시 피드백이 바로 바로 돌아오니 실력 상승에도 더 좋을 거 같다고 생각듬ㅋ,
Doggy wolf,1,2021-01-24,0,"네트워크 잘되는데 로딩 겁나 느리고 아예 안됩니다, 이전에 하던 데이터들도 업데이트 할때마다 지워지고.. 오랫동안 했었는데 왜이런건가요",
꽃윰윰,5,2021-01-23,0,좀 신기한 학습 앱입니다. 현지 외국인들이 직접 나와서 영어를 하는 거라서 기존 학습법과는 좀 다르고 더 재밌는 거 같습니다 ㅎ,
함하늘,5,2021-02-19,0,학습법도 좋고 컨텐츠도 알차서 만족합니다. 계속해서 이 어플을 이용할 생각입니다. 꾸준한 업데이트 부탁합니다,
변수빈,5,2020-12-31,0,현지 영어 익히고 싶은 분들에게 추천드립니다. 실제 원어민을 보면서 말하듯 말문이 트이는 걸 체감 하실 수 있으실 거에요!,
보르음달,4,2021-02-17,0,공부하다 보면 가끔 사소한 버그들이 보이긴 하는데 딱히 지장을 줄 정도는 아니었습니다. 아직까지는요,
고고고잉,5,2021-02-01,0,친구 추천으로 시작하게 되었어요! 영어 독학하고 있는데 진짜 재밌게 하고 있습니다 아주 유익한 프로그램 인 거 같아요~,
백윤하,5,2021-02-20,0,괜찮네요 1년 수강권 이정도면 가격도 괜찮은 듯 하고 컨텐츠도 좋다고 생각이 듭니다.,
고은비,4,2021-02-20,0,자꾸 끊기는 게 많이 나오는데 기기 문제일까요 인터넷 문제 일까요…? 잘 될 때는 잘되는 거 가튼뎅...,
프로여가러,4,2020-12-24,0,한가지 아쉬운 건 말을 직접 해야 하는 컨텐츠가 많아서 출퇴근이나 조용한 카페 같은 곳에서는 이용하기가 조금 부담스럽네요 ㅠㅠ,
권희정,4,2021-02-16,0,"화면구성, 반복회화 등의 기능들이 너무 좋습니다. 많이 애용할 예정이예요",
오애라,5,2020-12-30,0,영어 회화 실력이 기초수준일지라도 앱에서 하는 대로 차근 차근 따라가다 보면 어느샌가 영어가 트이는 나를 볼 수 있다,
도조아,5,2021-01-05,0,가끔 목소리 녹음이 안되는 경우가 있어서 좀 짜증나긴 하는데 학습은 재밌기도 하고 해서 마음에 듭니다.,
천미연,5,2021-02-19,0,원어민이 스크립트를 직접 읽어주면서 화면 속에서 대화하는 학습법이라 흥미진진 합니다,
나연김,5,2020-10-29,0,듣고 따라하고 너무 재밌습니다.,
유소은,5,2020-12-11,0,실제 사람을 만나는 건 좀 부담스럽지만 이렇게 화면으로 원어민을 보는 건 부담이 안되어서 저한테 너무 좋은 거 같아요,
장이원,5,2021-02-18,0,여러 영어학습앱을 사용해 보았는데 최고의 어플인것 같아요 ^^ 이런 어플을 만들어 주셔서 감사합니다,
양인정,4,2021-01-11,0,즐겁게 공부하니 좋아요,
강지태,4,2021-01-06,0,학습은 잘하고 있습니다. 가끔 생기는 오류만 즉시 즉시 수정해주시면 더 좋을 듯 합니다.,
김효리,4,2020-12-18,0,유용해요~~~ 근데 잠깐 하면 안되고 지속적으로 해야 효과 봄. 학습이란 것이 다 그런거겠지만….,
혜선,5,2020-09-09,0,간단하게 할수 있는거 알아보고 하도 유명해서 시작했는데 확실히 좋네요ㅠㅠ 직장생활하면서 학원다니기는 어려웠는데 차근차근 하나씩 해나갈수 있고 앱도 보기편하게 구성되어져 있어서 너무 좋아요 :),
노트공주,5,2020-09-15,0,영어 공부도 공부인데 실제 현지인들 모습을 직접 볼 수 있다는게 신기했어요!! 그림이나 애니메이션이 아니라 진짜 현지인을 찍은 영상이라 보는 재미도 있구요!ㅎㅎㅎ,
두근두근쿵쿵,5,2020-12-15,0,왕초보 단계에서 패턴 영어로 넘어왔습니다. 이 단계가 지나면 이제 원어민 회화 단계네요 ㅋㅋ,
김나무꾼,5,2021-01-06,0,구간 반복 기능 새로 생긴 거 같네요? 오랜만에 오니까 신기한 기능이 많이 생겼군요 ㅎ,
백지은,5,2021-01-23,0,차근 차근 말하고 반복하고 하다보면 언젠가 영어 실력도 늘어날 것이라고 믿고 있습니다!,
기절초풍,4,2020-12-31,0,듣는 용도의 컨텐츠를 조금 만 더 내주시면 좋을 거 같아요. 너무 말해야 하는 컨텐츠가 많긴 하네요..,
류혜진,5,2021-01-29,0,목소리 녹음되서 나오는 게 신기한 듯? 그리고 원어민 발음이랑 비교도 되고 피드백 창도 나오니 좋아요,
승희로운생활,5,2021-01-05,0,앱 디자인이 마음에 듭니다. 진도나 학습량 이런거 다 확인하기도 쉬워졌고…좋네욤,
Rainy spell,4,2020-12-22,0,단과로 몇몇개 신청하기 보단 확실히 올인원 패키지 신청하는게 훨씬 낫습니다. 신청하실 분들 참고하세요.,
박혜진,5,2020-09-10,0,영어 하려면 넘 막막하고 힘들어서 포기했었는데 스피킹맥스는 넘 재밌게 영어공부할 수 있어요. 체계적이고 원어민강사를 계속 보다보니 원어민 만나도 무서워하지않을듯요ㅎㅎ빨리 담단계로 넘어가고싶네요^^,
fuzzy,4,2020-12-21,0,학습하다가 갑자기 로그아웃 되었는데 뭐가 문제인지 모르겠음…지금은 잘 사용하고 있어요,
roundness,5,2021-02-20,0,짧막하게 공부하기 좋아요 수준별로 골라서 볼수 있어서 많이 도움 되네요,
조다혜,5,2020-09-22,0,학습모드가 여러 가지로 다양해서 질리지 않고 공부하기 좋아요!ㅎㅎ 돌발적으로 의사소통하는 스피치 학습 부분이 특히 실력향상에 도움 많이 되는 거 같아요!!!,
sr P,5,2020-09-10,0,친구가 이걸로 영어공부하기 쉽대서 다운받았는데 출퇴근시간에 짬짬히하니 엄청 유용하네요! 반복청취하는것도 좋고 초보들도 쉽게 배울수있어 마음에 들어요~^^,
전소현,1,2020-09-16,2,아이패드 프로패키지 3주 전에 신청했는데 아이패드 아직도 못받음. 신청할때 아이패드잔여수량 분명2개 있었는데 어떻게 되거냐니까 그거 자기네들이 신청할수 있는 수량이지 보유수량 아니라고 함. 사기성이 농후합니다.,
채수아,5,2021-01-30,0,영어 회화 특화 프로그램이라 그런지 영어 회화 만큼은 알차고 풍부하게 차 있는 것 같네요,
채인자,5,2021-01-22,0,영어는 말하고 떠들어야 늡니다. 그런 점에서 정말 좋은 학습 앱이라고 생각해요,
방영은,5,2021-02-18,0,영어는 아무리 좋은 그 어떠한 것이라도 본인의 의지가 정말 중요한 거 같네요,
윤금채,5,2021-02-01,0,쉽게 질리는 스타일인데 이거 길게 공부 하는게 아니라서 질리기 전에 학습 끝나서 좋아요 ㅋㅋㅋㅋㅋㅋㅋㅋ,
블랙래빗,4,2020-12-31,0,비밀번호 바꾸고 로그인 하면 가끔 로그인이 안되는 경우가 있는데 수정 부탁드립니다,
최건호,4,2020-11-09,0,콘텐츠가 다양해서 좋아요,
유다선,5,2021-02-23,0,듣고 읽고 말하고 회화의 기본을 배울 수 있는 앱이라고 생각이 드네요,
염예서,5,2020-12-10,0,영어 공부에 대해서는 엄청 초보자인데도 스피킹맥스 덕분에 좋은 공부 할 수 있어서 만족스럽습니다^^,
